Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Water Scarcity Level,Country_Code,AI_Risk_Score,Risk_Level,Scenario_Low_Rainfall,Scenario_High_Demand,Estimated_Energy_Use_MWh,Estimated_CO2_Emissions_tons,AI_Policy_Insight
Argentina,2000,481.49,235.4314286,48.55,20.84428571,30.1,1288.698571,3.255714286,Moderate,0,1,Low,966.5239282499999,553.7135,192.596,157.92872,Sustainable usage observed. Continue monitoring.
Argentina,2001,455.063,299.551,48.465,26.943,22.55,1371.729,3.12,Moderate,0,1,Low,1028.79675,523.3224499999999,182.0252,149.260664,Sustainable usage observed. Continue monitoring.
Argentina,2002,482.7492308,340.1246154,50.37538462,29.04230769,23.34923077,1590.305385,2.733846154,Moderate,0,1,Low,1192.72903875,555.16161542,193.09969232000003,158.34174770240003,Sustainable usage observed. Continue monitoring.
Argentina,2003,452.66,326.7566667,49.08666667,30.476,24.44,1816.012667,2.708,Moderate,0,1,Low,1362.00950025,520.559,181.06400000000002,148.47248000000002,Sustainable usage observed. Continue monitoring.
Argentina,2004,634.566,230.346,38.67,36.67,23.924,815.998,1.902,Moderate,0,1,Low,611.9985,729.7509,253.82640000000004,208.137648,Sustainable usage observed. Continue monitoring.
Argentina,2005,458.077,265.012,59.834,29.288,22.649,1826.293,2.724,Moderate,0,1,Low,1369.71975,526.78855,183.23080000000002,150.249256,Sustainable usage observed. Continue monitoring.
Argentina,2006,452.9833333,111.7083333,54.96166667,29.79166667,28.83166667,1318.923333,3.133333333,Moderate,0,0,Low,989.19249975,520.930833295,181.19333332000002,148.5785333224,Sustainable usage observed. Continue monitoring.
Argentina,2007,691.1025,192.815,41.655,16.705,20.31,1500.8375,3.5,Moderate,0,0,Low,1125.6281250000002,794.7678749999999,276.441,226.68161999999995,Sustainable usage observed. Continue monitoring.
Argentina,2008,494.048,230.443,60.323,24.483,24.21,1378.952,3.006,Moderate,0,2,Moderate,1034.214,568.1551999999999,197.6192,162.047744,Preventive planning recommended: efficiency & rainfall resilience.
Argentina,2009,637.8783333,230.6816667,54.91666667,29.05166667,21.21166667,1141.906667,2.356666667,Moderate,0,1,Low,856.4300002499999,733.5600832949999,255.15133332000002,209.2240933224,Sustainable usage observed. Continue monitoring.
Argentina,2010,502.875,216.807,49.325,23.932,25.208,1496.221,2.671,Moderate,0,1,Low,1122.1657500000001,578.30625,201.15,164.94299999999998,Sustainable usage observed. Continue monitoring.
Argentina,2011,535.336875,317.69375,44.3875,29.1575,22.778125,1814.865625,2.955625,Moderate,0,1,Low,1361.1492187499998,615.6374062499999,214.13475,175.59049499999998,Sustainable usage observed. Continue monitoring.
Argentina,2012,556.4116667,248.72,60.31166667,31.94166667,23.425,1428.521667,2.563333333,Moderate,0,2,Moderate,1071.39125025,639.873416705,222.56466668,182.5030266776,Preventive planning recommended: efficiency & rainfall resilience.
Argentina,2013,505.6286667,265.718,48.59933333,32.004,26.01466667,1375.516,3.154,Moderate,0,1,Low,1031.6370000000002,581.472966705,202.25146668000002,165.84620267760002,Sustainable usage observed. Continue monitoring.
Argentina,2014,558.1611111,314.2377778,50.90888889,24.63111111,25.77444444,1912.69,2.444444444,Moderate,0,1,Low,1434.5175,641.885277765,223.26444444,183.0768444408,Sustainable usage observed. Continue monitoring.
Argentina,2015,565.115,288.1383333,49.5,22.815,28.52666667,1782.6,2.616666667,Moderate,0,1,Low,1336.9499999999998,649.88225,226.04600000000002,185.35772,Sustainable usage observed. Continue monitoring.
Argentina,2016,467.3180952,322.0538095,49.36190476,28.40238095,22.30761905,1730.01,2.642857143,Moderate,0,1,Low,1297.5075,537.41580948,186.92723808000002,153.2803352256,Sustainable usage observed. Continue monitoring.
Argentina,2017,477.1978947,265.23,56.49263158,29.68,24.35473684,1665.009474,2.666315789,Moderate,0,1,Low,1248.7571054999999,548.7775789049999,190.87915788,156.52090946159998,Sustainable usage observed. Continue monitoring.
Argentina,2018,649.13,281.832,54.83,21.261,25.314,1449.102,2.264,Moderate,0,1,Low,1086.8265000000001,746.4994999999999,259.652,212.91463999999996,Sustainable usage observed. Continue monitoring.
Argentina,2019,484.1566667,268.4022222,55.63555556,34.48444444,26.71888889,1630.764444,2.208888889,Moderate,0,1,Low,1223.0733329999998,556.7801667049999,193.66266668000003,158.8033866776,Sustainable usage observed. Continue monitoring.
Argentina,2020,582.008,289.554,66.52,28.876,29.846,1455.684,2.092,Moderate,0,2,Moderate,1091.763,669.3092,232.80320000000003,190.898624,Preventive planning recommended: efficiency & rainfall resilience.
Argentina,2021,432.4683333,260.575,52.6775,29.44083333,22.13,2076.763333,2.673333333,Moderate,0,1,Low,1557.57249975,497.3385832949999,172.98733332,141.8496133224,Sustainable usage observed. Continue monitoring.
Argentina,2022,523.8810526,296.7405263,48.51842105,28.50631579,28.09473684,1160.576316,3.015789474,Moderate,0,1,Low,870.432237,602.4632104899999,209.55242104,171.8329852528,Sustainable usage observed. Continue monitoring.
Argentina,2023,556.765,265.325,40.842,26.099,29.272,1701.795,2.13,Moderate,0,1,Low,1276.34625,640.2797499999999,222.70600000000002,182.61892,Sustainable usage observed. Continue monitoring.
Argentina,2024,647.79,364.3828571,51.20142857,34.14285714,23.52285714,2283.157143,2.285714286,Low,0,1,Low,1712.3678572499998,744.9584999999998,259.116,212.47511999999998,Sustainable usage observed. Continue monitoring.
Australia,2000,545.04,296.13,54.66375,32.665,21.75625,1549.73125,2.36625,Moderate,1,1,Low,1162.2984375,626.7959999999999,218.016,178.77311999999998,Sustainable usage observed. Continue monitoring.
Australia,2001,448.229,247.556,46.922,23.326,26.132,1554.3,2.698,Moderate,1,1,Low,1165.725,515.46335,179.29160000000002,147.019112,Sustainable usage observed. Continue monitoring.
Australia,2002,488.0033333,236.6966667,58.88666667,25.145,26.34166667,1457.325,2.206666667,Moderate,1,1,Low,1092.99375,561.203833295,195.20133332,160.0650933224,Sustainable usage observed. Continue monitoring.
Australia,2003,540.81,275.3416667,48.9825,32.625,23.8275,1721.613333,3.324166667,Moderate,1,1,Low,1291.20999975,621.9314999999999,216.32399999999998,177.38567999999998,Sustainable usage observed. Continue monitoring.
Australia,2004,503.8664286,261.0157143,51.07142857,27.65071429,26.55857143,1931.437143,2.214285714,Moderate,1,1,Low,1448.57785725,579.44639289,201.54657144,165.2681885808,Sustainable usage observed. Continue monitoring.
Australia,2005,503.61,255.9045455,53.11545455,30.74727273,22.64363636,1392.708182,2.252727273,Moderate,1,1,Low,1044.5311365,579.1514999999999,201.44400000000002,165.18408,Sustainable usage observed. Continue monitoring.
Australia,2006,438.3757143,279.7478571,48.02642857,32.05928571,26.485,1300.371429,2.282857143,Moderate,1,1,Low,975.2785717500001,504.132071445,175.35028572000002,143.7872342904,Sustainable usage observed. Continue monitoring.
Australia,2007,376.92375,228.62125,53.56125,27.13625,29.6725,1529.41,3.19875,Moderate,1,1,Low,1147.0575000000001,433.46231249999994,150.7695,123.63098999999998,Sustainable usage observed. Continue monitoring.
Australia,2008,511.38,238.47,55.68461538,23.33230769,26.02846154,1611.926923,2.011538462,Moderate,1,1,Low,1208.94519225,588.087,204.55200000000002,167.73264,Sustainable usage observed. Continue monitoring.
